SA4 Name 2021,National LGA Name 2024,National Remoteness Areas,National Road Type
Queensland - Outback,Mareeba,Very Remote Australia,Sub-arterial Road
Melbourne - North East,Whittlesea,Major Cities of Australia,Sub-arterial Road
Mid North Coast,Mid-Coast,Inner Regional Australia,Arterial Road
Central Queensland,Rockhampton,Inner Regional Australia,Pedestrian Thoroughfare
Mid North Coast,Mid-Coast,Inner Regional Australia,National or State Highway
Ipswich,Ipswich,Inner Regional Australia,Sub-arterial Road
Hunter Valley exc Newcastle,Muswellbrook,Inner Regional Australia,Arterial Road
Warrnambool and South West,Glenelg,Outer Regional Australia,National or State Highway
Wide Bay,Bundaberg,Inner Regional Australia,Collector Road
Cairns,Douglas,Outer Regional Australia,National or State Highway
Darling Downs - Maranoa,Western Downs,Outer Regional Australia,Sub-arterial Road
Adelaide - West,Port Adelaide Enfield,Major Cities of Australia,Arterial Road
Brisbane - South,Brisbane,Major Cities of Australia,Local Road
Central West,Cabonne,Outer Regional Australia,Arterial Road
Gold Coast,Gold Coast,Major Cities of Australia,Collector Road
Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Arterial Road
Mornington Peninsula,Frankston,Major Cities of Australia,Sub-arterial Road
New England and North West,Moree Plains,Outer Regional Australia,National or State Highway
Sydney - Parramatta,Parramatta,Major Cities of Australia,Local Road
Launceston and North East,Meander Valley,Outer Regional Australia,National or State Highway
Capital Region,Queanbeyan-Palerang,Major Cities of Australia,Local Road
Capital Region,Snowy Monaro,Outer Regional Australia,National or State Highway
Barossa - Yorke - Mid North,Barossa,Inner Regional Australia,Local Road
Murray,Federation,Outer Regional Australia,National or State Highway
Toowoomba,Toowoomba,Inner Regional Australia,Local Road
Brisbane Inner City,Brisbane,Major Cities of Australia,Sub-arterial Road
Sydney - Blacktown,Blacktown,Major Cities of Australia,Arterial Road
Darling Downs - Maranoa,Southern Downs,Inner Regional Australia,National or State Highway
Central West,Cowra,Inner Regional Australia,Local Road
Capital Region,Goulburn Mulwaree,Inner Regional Australia,National or State Highway
Moreton Bay - South,Moreton Bay,Major Cities of Australia,Local Road
Wide Bay,Gympie,Inner Regional Australia,Local Road
Sydney - North Sydney and Hornsby,Willoughby,Major Cities of Australia,Arterial Road
Capital Region,Shoalhaven,Inner Regional Australia,National or State Highway
Capital Region,Queanbeyan-Palerang,Inner Regional Australia,Arterial Road
Bendigo,Greater Bendigo,Inner Regional Australia,National or State Highway
Melbourne - North East,Nillumbik,Inner Regional Australia,Arterial Road
Central Queensland,Rockhampton,Inner Regional Australia,National or State Highway
Illawarra,Wollongong,Inner Regional Australia,Arterial Road
Wide Bay,South Burnett,Inner Regional Australia,Collector Road
South Australia - South East,Tatiara,Remote Australia,National or State Highway
Richmond - Tweed,Tweed,Inner Regional Australia,Arterial Road
Mid North Coast,Mid-Coast,Outer Regional Australia,Sub-arterial Road
Ipswich,Ipswich,Major Cities of Australia,National or State Highway
North West,Ararat,Inner Regional Australia,National or State Highway
Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Inner Regional Australia,Arterial Road
Barossa - Yorke - Mid North,Light,Inner Regional Australia,Arterial Road
Adelaide - North,Salisbury,Major Cities of Australia,Collector Road
Cairns,Cairns,Outer Regional Australia,National or State Highway
Warrnambool and South West,Colac Otway,Inner Regional Australia,Arterial Road
Queensland - Outback,McKinlay,Very Remote Australia,Sub-arterial Road
Hunter Valley exc Newcastle,Singleton,Inner Regional Australia,Local Road
Central Queensland,Gladstone,Outer Regional Australia,National or State Highway
Riverina,Wagga Wagga,Inner Regional Australia,Sub-arterial Road
Central West,Lithgow,Inner Regional Australia,National or State Highway
Sydney - Outer South West,Campbelltown (NSW),Major Cities of Australia,National or State Highway
Warrnambool and South West,Moyne,Inner Regional Australia,National or State Highway
Cairns,Cairns,Outer Regional Australia,Sub-arterial Road
Sunshine Coast,Sunshine Coast,Major Cities of Australia,Local Road
Far West and Orana,Warrumbungle,Outer Regional Australia,Local Road
Mackay - Isaac - Whitsunday,Whitsunday,Outer Regional Australia,National or State Highway
Hunter Valley exc Newcastle,Upper Hunter,Outer Regional Australia,Arterial Road
Sunshine Coast,Noosa,Major Cities of Australia,Sub-arterial Road
Newcastle and Lake Macquarie,Port Stephens,Major Cities of Australia,Arterial Road
Adelaide - North,Gawler,Major Cities of Australia,Collector Road
Hume,Alpine,Inner Regional Australia,Local Road
Central West,Cabonne,Inner Regional Australia,Local Road
Ipswich,Brisbane,Major Cities of Australia,Collector Road
Latrobe - Gippsland,Baw Baw,Inner Regional Australia,Local Road
Mackay - Isaac - Whitsunday,Isaac,Remote Australia,National or State Highway
Sunshine Coast,Sunshine Coast,Major Cities of Australia,National or State Highway
Darling Downs - Maranoa,Maranoa,Remote Australia,National or State Highway
Warrnambool and South West,Southern Grampians,Outer Regional Australia,National or State Highway
Moreton Bay - North,Moreton Bay,Major Cities of Australia,Sub-arterial Road
Hunter Valley exc Newcastle,Cessnock,Inner Regional Australia,Arterial Road
Logan - Beaudesert,Scenic Rim,Inner Regional Australia,National or State Highway
Ipswich,Somerset,Inner Regional Australia,Local Road
Townsville,Hinchinbrook,Remote Australia,Access road
Logan - Beaudesert,Scenic Rim,Inner Regional Australia,Sub-arterial Road
Mackay - Isaac - Whitsunday,Mackay,Inner Regional Australia,Collector Road
Adelaide - North,Playford,Major Cities of Australia,National or State Highway
Far West and Orana,Cobar,Very Remote Australia,National or State Highway
Wide Bay,South Burnett,Outer Regional Australia,Local Road
North West,Ararat,Outer Regional Australia,National or State Highway
Ipswich,Somerset,Inner Regional Australia,Sub-arterial Road
Sydney - Outer South West,Campbelltown (NSW),Major Cities of Australia,Collector Road
Adelaide - Central and Hills,Adelaide Hills,Inner Regional Australia,Sub-arterial Road
Capital Region,Bega Valley,Outer Regional Australia,National or State Highway
Adelaide - North,Tea Tree Gully,Major Cities of Australia,Sub-arterial Road
Moreton Bay - North,Moreton Bay,Major Cities of Australia,Local Road
Illawarra,Kiama,Inner Regional Australia,Arterial Road
Warrnambool and South West,Moyne,Outer Regional Australia,Local Road
Sydney - Outer South West,Wollondilly,Inner Regional Australia,Arterial Road
Ipswich,Scenic Rim,Inner Regional Australia,Sub-arterial Road
Melbourne - South East,Casey,Major Cities of Australia,Arterial Road
Central Queensland,Gladstone,Outer Regional Australia,Collector Road
Barossa - Yorke - Mid North,Northern Areas,Outer Regional Australia,Arterial Road
Cairns,Tablelands,Outer Regional Australia,Sub-arterial Road
Sydney - City and Inner South,Sydney,Major Cities of Australia,National or State Highway
Hume,Murrindindi,Inner Regional Australia,National or State Highway
Adelaide - West,Port Adelaide Enfield,Major Cities of Australia,Local Road
Murray,Albury,Inner Regional Australia,National or State Highway
Gold Coast,Gold Coast,Major Cities of Australia,Sub-arterial Road
Melbourne - Inner East,Boroondara,Major Cities of Australia,Arterial Road
Brisbane - East,Redland,Major Cities of Australia,Sub-arterial Road
Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Collector Road
Adelaide - North,Playford,Inner Regional Australia,Collector Road
Latrobe - Gippsland,South Gippsland,Inner Regional Australia,National or State Highway
Townsville,Hinchinbrook,Outer Regional Australia,Local Road
Melbourne - Inner East,Boroondara,Major Cities of Australia,Local Road
Wide Bay,Fraser Coast,Inner Regional Australia,Collector Road
Melbourne - Outer East,Yarra Ranges,Inner Regional Australia,Sub-arterial Road
Warrnambool and South West,Colac Otway,Inner Regional Australia,Access road
Capital Region,Bega Valley,Outer Regional Australia,Arterial Road
Geelong,Surf Coast,Inner Regional Australia,Local Road
Adelaide - Central and Hills,Mount Barker,Inner Regional Australia,Arterial Road
Brisbane - East,Brisbane,Major Cities of Australia,Sub-arterial Road
Hunter Valley exc Newcastle,Cessnock,Major Cities of Australia,Local Road
Hunter Valley exc Newcastle,Maitland,Inner Regional Australia,National or State Highway
Murray,Federation,Outer Regional Australia,Sub-arterial Road
Hobart,Hobart,Inner Regional Australia,Local Road
Adelaide - South,Mitcham,Major Cities of Australia,Collector Road
Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,Sub-arterial Road
Adelaide - Central and Hills,Adelaide,Major Cities of Australia,Sub-arterial Road
Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Arterial Road
Brisbane - South,Brisbane,Major Cities of Australia,National or State Highway
Richmond - Tweed,Lismore,Inner Regional Australia,Local Road
Shepparton,Greater Shepparton,Inner Regional Australia,Sub-arterial Road
Melbourne - North West,Merri-bek,Major Cities of Australia,Sub-arterial Road
Riverina,Narrandera,Outer Regional Australia,Local Road
Logan - Beaudesert,Logan,Major Cities of Australia,Local Road
South East,Huon Valley,Outer Regional Australia,Sub-arterial Road
Hunter Valley exc Newcastle,Cessnock,Inner Regional Australia,Sub-arterial Road
Riverina,Griffith,Outer Regional Australia,Local Road
Hume,Wodonga,Inner Regional Australia,Local Road
Sunshine Coast,Sunshine Coast,Major Cities of Australia,Access road
Hunter Valley exc Newcastle,Mid-Coast,Inner Regional Australia,Arterial Road
Melbourne - Inner,Darebin,Major Cities of Australia,Local Road
Hume,Murrindindi,Inner Regional Australia,Sub-arterial Road
Ballarat,Ballarat,Inner Regional Australia,Sub-arterial Road
Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,Local Road
Melbourne - South East,Cardinia,Inner Regional Australia,Access road
Central Queensland,Rockhampton,Inner Regional Australia,Local Road
Melbourne - Outer East,Maroondah,Major Cities of Australia,Local Road
Murray,Albury,Inner Regional Australia,Arterial Road
Richmond - Tweed,Tweed,Major Cities of Australia,Local Road
Wide Bay,North Burnett,Outer Regional Australia,National or State Highway
New England and North West,Moree Plains,Remote Australia,Sub-arterial Road
South East,Huon Valley,Outer Regional Australia,National or State Highway
Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Collector Road
Sydney - South West,Fairfield,Major Cities of Australia,Local Road
Adelaide - Central and Hills,Unley,Major Cities of Australia,Sub-arterial Road
South Australia - South East,Alexandrina,Inner Regional Australia,Arterial Road
Melbourne - Outer East,Yarra Ranges,Inner Regional Australia,Arterial Road
Wide Bay,Gympie,Outer Regional Australia,Local Road
Melbourne - West,Melton,Major Cities of Australia,National or State Highway
Mornington Peninsula,Frankston,Major Cities of Australia,Local Road
Townsville,Burdekin,Outer Regional Australia,National or State Highway
Melbourne - Outer East,Knox,Major Cities of Australia,Local Road
Mid North Coast,Mid-Coast,Inner Regional Australia,Sub-arterial Road
Melbourne - North East,Whittlesea,Inner Regional Australia,Arterial Road
Queensland - Outback,Mareeba,Very Remote Australia,Local Road
Darling Downs - Maranoa,Western Downs,Outer Regional Australia,Local Road
Melbourne - Outer East,Yarra Ranges,Inner Regional Australia,Local Road
Melbourne - South East,Monash,Major Cities of Australia,Arterial Road
Far West and Orana,Unincorporated NSW,Very Remote Australia,National or State Highway
Wide Bay,South Burnett,Inner Regional Australia,Local Road
Sydney - Blacktown,Blacktown,Major Cities of Australia,Local Road
Sydney - Parramatta,Cumberland,Major Cities of Australia,Collector Road
Queensland - Outback,Barcaldine,Very Remote Australia,Local Road
Melbourne - West,Wyndham,Major Cities of Australia,Arterial Road
New England and North West,Glen Innes Severn,Outer Regional Australia,National or State Highway
Richmond - Tweed,Lismore,Inner Regional Australia,National or State Highway
Melbourne - Outer East,Yarra Ranges,Inner Regional Australia,National or State Highway
Sydney - Northern Beaches,Northern Beaches,Major Cities of Australia,Arterial Road
Townsville,Townsville,Outer Regional Australia,Local Road
Central Queensland,Livingstone,Outer Regional Australia,National or State Highway
Shepparton,Greater Shepparton,Inner Regional Australia,Arterial Road
Melbourne - Outer East,Yarra Ranges,Major Cities of Australia,Sub-arterial Road
Ballarat,Golden Plains,Inner Regional Australia,Arterial Road
Queensland - Outback,Cook,Very Remote Australia,Sub-arterial Road
Ipswich,Ipswich,Major Cities of Australia,Sub-arterial Road
Hobart,Clarence,Inner Regional Australia,Arterial Road
Sydney - Inner South West,Georges River,Major Cities of Australia,Arterial Road
Hunter Valley exc Newcastle,Maitland,Major Cities of Australia,Arterial Road
Murray,Greater Hume,Inner Regional Australia,Arterial Road
Melbourne - South East,Kingston (Vic.),Major Cities of Australia,Local Road
Melbourne - Inner East,Manningham,Major Cities of Australia,Arterial Road
Sunshine Coast,Sunshine Coast,Major Cities of Australia,Sub-arterial Road
Central West,Bathurst,Inner Regional Australia,National or State Highway
South Australia - Outback,Wudinna,Remote Australia,National or State Highway
New England and North West,Inverell,Outer Regional Australia,Arterial Road
Melbourne - West,Brimbank,Major Cities of Australia,Arterial Road
Melbourne - North East,Darebin,Major Cities of Australia,Collector Road
Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Local Road
Adelaide - West,Charles Sturt,Major Cities of Australia,Collector Road
Launceston and North East,Flinders (Tas.),Very Remote Australia,Arterial Road
Ipswich,Scenic Rim,Inner Regional Australia,Collector Road
West and North West,Burnie,Outer Regional Australia,Arterial Road
Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Pedestrian Thoroughfare
New England and North West,Armidale,Outer Regional Australia,Access road
Ballarat,Ballarat,Inner Regional Australia,Arterial Road
Far West and Orana,Dubbo,Inner Regional Australia,Sub-arterial Road
Melbourne - West,Melton,Major Cities of Australia,Local Road
Gold Coast,Gold Coast,Major Cities of Australia,Local Road
Melbourne - North East,Darebin,Major Cities of Australia,Local Road
Ipswich,Ipswich,Major Cities of Australia,Local Road
Geelong,Greater Geelong,Major Cities of Australia,Sub-arterial Road
Adelaide - Central and Hills,Adelaide Hills,Major Cities of Australia,Collector Road
Melbourne - South East,Cardinia,Major Cities of Australia,National or State Highway
Mackay - Isaac - Whitsunday,Whitsunday,Outer Regional Australia,Sub-arterial Road
Hume,Mitchell,Inner Regional Australia,Collector Road
Melbourne - West,Wyndham,Major Cities of Australia,Local Road
Adelaide - South,Onkaparinga,Inner Regional Australia,Collector Road
Melbourne - Inner South,Stonnington,Major Cities of Australia,Sub-arterial Road
South Australia - Outback,Unincorporated SA,Very Remote Australia,National or State Highway
Launceston and North East,Launceston,Outer Regional Australia,Collector Road
Hume,Indigo,Inner Regional Australia,National or State Highway
Melbourne - Inner,Yarra,Major Cities of Australia,Arterial Road
Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Arterial Road
Melbourne - Inner,Port Phillip,Major Cities of Australia,Collector Road
Melbourne - South East,Cardinia,Major Cities of Australia,Arterial Road
Mornington Peninsula,Frankston,Major Cities of Australia,Arterial Road
Cairns,Cassowary Coast,Outer Regional Australia,Sub-arterial Road
Ipswich,Scenic Rim,Inner Regional Australia,National or State Highway
Central Queensland,Gladstone,Outer Regional Australia,Sub-arterial Road
Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,Sub-arterial Road
West and North West,Waratah-Wynyard,Outer Regional Australia,National or State Highway
Shepparton,Campaspe,Inner Regional Australia,National or State Highway
Logan - Beaudesert,Logan,Major Cities of Australia,Collector Road
Northern Territory - Outback,Barkly,Very Remote Australia,National or State Highway
Sydney - Parramatta,Blacktown,Major Cities of Australia,National or State Highway
Central West,Forbes,Outer Regional Australia,National or State Highway
Central West,Blayney,Inner Regional Australia,National or State Highway
Adelaide - Central and Hills,Campbelltown (SA),Major Cities of Australia,Collector Road
Latrobe - Gippsland,Latrobe (Vic.),Inner Regional Australia,Local Road
Central West,Lithgow,Inner Regional Australia,Sub-arterial Road
Geelong,Surf Coast,Inner Regional Australia,Sub-arterial Road
Darwin,Palmerston,Outer Regional Australia,Sub-arterial Road
New England and North West,Gunnedah,Outer Regional Australia,Local Road
Townsville,Townsville,Outer Regional Australia,National or State Highway
Launceston and North East,Break O'Day,Outer Regional Australia,Access road
North West,Buloke,Outer Regional Australia,Collector Road
North West,West Wimmera,Outer Regional Australia,Arterial Road
Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia,Local Road
Sydney - North Sydney and Hornsby,Ku-ring-gai,Major Cities of Australia,Arterial Road
Capital Region,Snowy Monaro,Outer Regional Australia,Sub-arterial Road
Hobart,Hobart,Inner Regional Australia,Sub-arterial Road
Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,Sub-arterial Road
Bendigo,Greater Bendigo,Inner Regional Australia,Sub-arterial Road
Warrnambool and South West,Warrnambool,Inner Regional Australia,Local Road
Capital Region,Goulburn Mulwaree,Inner Regional Australia,Arterial Road
Murray,Berrigan,Inner Regional Australia,Local Road
Far West and Orana,Warren,Remote Australia,National or State Highway
Queensland - Outback,Cook,Very Remote Australia,Local Road
Central West,Mid-Western,Outer Regional Australia,Sub-arterial Road
Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,Arterial Road
Shepparton,Moira,Inner Regional Australia,Arterial Road
Wide Bay,Fraser Coast,Inner Regional Australia,National or State Highway
Brisbane - North,Brisbane,Major Cities of Australia,Local Road
South Australia - South East,Berri Barmera,Outer Regional Australia,Local Road
South Australia - South East,Alexandrina,Inner Regional Australia,Collector Road
Riverina,Narrandera,Outer Regional Australia,Arterial Road
Warrnambool and South West,Glenelg,Outer Regional Australia,Arterial Road
Melbourne - Inner,Moonee Valley,Major Cities of Australia,Collector Road
Melbourne - North East,Whittlesea,Major Cities of Australia,Local Road
Darwin,Litchfield,Outer Regional Australia,Sub-arterial Road
Sunshine Coast,Sunshine Coast,Major Cities of Australia,Collector Road
New England and North West,Narrabri,Outer Regional Australia,Local Road
New England and North West,Glen Innes Severn,Outer Regional Australia,Sub-arterial Road
Melbourne - South East,Greater Dandenong,Major Cities of Australia,Arterial Road
Geelong,Golden Plains,Inner Regional Australia,National or State Highway
Melbourne - West,Melton,Major Cities of Australia,Sub-arterial Road
Central Coast,Central Coast (NSW),Major Cities of Australia,National or State Highway
Darling Downs - Maranoa,Toowoomba,Outer Regional Australia,National or State Highway
New England and North West,Tenterfield,Outer Regional Australia,Sub-arterial Road
Hume,Indigo,Inner Regional Australia,Arterial Road
Warrnambool and South West,Moyne,Inner Regional Australia,Sub-arterial Road
Shepparton,Campaspe,Inner Regional Australia,Local Road
Shepparton,Greater Shepparton,Inner Regional Australia,Local Road
Moreton Bay - North,Moreton Bay,Major Cities of Australia,Collector Road
Darling Downs - Maranoa,Toowoomba,Outer Regional Australia,Collector Road
Melbourne - North West,Moonee Valley,Major Cities of Australia,National or State Highway
Adelaide - South,Onkaparinga,Major Cities of Australia,National or State Highway
Sydney - Inner West,Inner West,Major Cities of Australia,Collector Road
Hunter Valley exc Newcastle,Cessnock,Major Cities of Australia,Arterial Road
Melbourne - South East,Casey,Major Cities of Australia,National or State Highway
Melbourne - South East,Greater Dandenong,Major Cities of Australia,National or State Highway
Brisbane Inner City,Brisbane,Major Cities of Australia,Collector Road
Brisbane - South,Brisbane,Major Cities of Australia,Collector Road
Adelaide - North,Salisbury,Major Cities of Australia,Sub-arterial Road
Far West and Orana,Warrumbungle,Outer Regional Australia,Arterial Road
South Australia - Outback,Whyalla,Outer Regional Australia,Local Road
Melbourne - Outer East,Yarra Ranges,Major Cities of Australia,Collector Road
Central Queensland,Rockhampton,Outer Regional Australia,National or State Highway
Melbourne - Inner,Moonee Valley,Major Cities of Australia,Sub-arterial Road
South Australia - Outback,Unincorporated SA,Remote Australia,National or State Highway
Hunter Valley exc Newcastle,Port Stephens,Inner Regional Australia,Arterial Road
Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,National or State Highway
Central Queensland,Gladstone,Inner Regional Australia,National or State Highway
Sunshine Coast,Noosa,Inner Regional Australia,Sub-arterial Road
Queensland - Outback,Mount Isa,Remote Australia,Collector Road
Queensland - Outback,Mount Isa,Remote Australia,Local Road
Brisbane Inner City,Brisbane,Major Cities of Australia,Pedestrian Thoroughfare
Melbourne - Inner South,Kingston (Vic.),Major Cities of Australia,Local Road
Darling Downs - Maranoa,Toowoomba,Inner Regional Australia,Local Road
Melbourne - Outer East,Maroondah,Major Cities of Australia,Arterial Road
Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia,Collector Road
Darling Downs - Maranoa,Toowoomba,Inner Regional Australia,National or State Highway
Melbourne - West,Maribyrnong,Major Cities of Australia,National or State Highway
South Australia - Outback,Unincorporated SA,Remote Australia,Sub-arterial Road
Adelaide - South,Marion,Major Cities of Australia,Collector Road
Melbourne - North East,Darebin,Major Cities of Australia,Sub-arterial Road
Sydney - Blacktown,Blacktown,Major Cities of Australia,Access road
Sydney - Blacktown,Blacktown,Major Cities of Australia,Collector Road
Far West and Orana,Dubbo,Inner Regional Australia,National or State Highway
Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia,National or State Highway
Gold Coast,Gold Coast,Inner Regional Australia,Sub-arterial Road
North West,Mildura,Outer Regional Australia,National or State Highway
Brisbane - North,Brisbane,Major Cities of Australia,National or State Highway
Sydney - North Sydney and Hornsby,Hornsby,Inner Regional Australia,National or State Highway
Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,National or State Highway
Adelaide - Central and Hills,Adelaide Hills,Inner Regional Australia,Local Road
Melbourne - South East,Monash,Major Cities of Australia,National or State Highway
Hume,Mansfield,Outer Regional Australia,Arterial Road
Townsville,Charters Towers,Very Remote Australia,National or State Highway
Sydney - Baulkham Hills and Hawkesbury,The Hills,Major Cities of Australia,Local Road
Sydney - South West,Fairfield,Major Cities of Australia,Collector Road
Melbourne - Inner South,Kingston (Vic.),Major Cities of Australia,National or State Highway
Richmond - Tweed,Richmond Valley,Inner Regional Australia,Sub-arterial Road
Darling Downs - Maranoa,Toowoomba,Inner Regional Australia,Sub-arterial Road
Sydney - Parramatta,Parramatta,Major Cities of Australia,Arterial Road
Ballarat,Ballarat,Inner Regional Australia,Local Road
Sydney - Sutherland,Sutherland,Inner Regional Australia,Arterial Road
Central West,Mid-Western,Inner Regional Australia,Sub-arterial Road
Melbourne - North West,Hume,Major Cities of Australia,Arterial Road
Newcastle and Lake Macquarie,Newcastle,Major Cities of Australia,Arterial Road
Ipswich,Ipswich,Inner Regional Australia,National or State Highway
Melbourne - Inner South,Glen Eira,Major Cities of Australia,National or State Highway
Melbourne - South East,Monash,Major Cities of Australia,Local Road
